iter	Accuracy	Logloss
0	0.51916696	0.6930751738
1	0.5252621973	0.6929713357
2	0.5283460206	0.6928731475
3	0.5330505948	0.6927808281
4	0.5360318795	0.6926869187
5	0.5395506891	0.6925997154
6	0.5414777646	0.692499398
7	0.5473804257	0.6923528322
8	0.5529863696	0.6921988715
9	0.5532732928	0.6920835962
10	0.5537482801	0.6920466229
11	0.5569492205	0.6918974309
12	0.5540975542	0.6918284292
13	0.557175263	0.6916906443
14	0.5606172367	0.6915846772
15	0.5605023756	0.6914609171
16	0.5605033869	0.6914502816
17	0.5628188197	0.6912946778
18	0.5643925292	0.6911798195
19	0.5629991589	0.6910906342
20	0.5627658039	0.6909847973
21	0.564681475	0.6908472528
22	0.5661510821	0.6907128809
23	0.5670452793	0.6906145638
24	0.5673594688	0.6905341893
25	0.568635403	0.6904318284
26	0.5703084773	0.6903361723
27	0.5718538157	0.690229956
28	0.5724075682	0.6901577286
29	0.5728629206	0.6900593947
30	0.5735207288	0.6899620834
31	0.574457183	0.6898416753
32	0.5751144855	0.6897031178
33	0.5751737091	0.6896133829
34	0.575608462	0.6895388687
35	0.5755121312	0.689461834
36	0.5774942918	0.6893642826
37	0.577781215	0.6892708934
38	0.5791715046	0.6891745502
39	0.5800162722	0.6890612436
40	0.5811397325	0.6889829798
41	0.5818104154	0.688895423
42	0.5837142697	0.6888064551
43	0.5843323958	0.6887018625
44	0.5847728042	0.6886214138
45	0.5822286606	0.6885493178
46	0.5831342155	0.688459526
47	0.5829667976	0.6883475655
48	0.583081153	0.6882577138
49	0.5835462995	0.68819598
50	0.5851653	0.6880989814
51	0.5848119339	0.6880291919
52	0.5870001366	0.6879220917
53	0.5866859003	0.6878820985
54	0.5860991792	0.6878491904
55	0.5882930374	0.6877227678
56	0.5879885952	0.687681631
57	0.5869264279	0.6876331011
58	0.5879484075	0.6875430436
59	0.5894628466	0.6874404438
60	0.5899862055	0.6873317354
61	0.5904941147	0.6872639091
62	0.5906980874	0.6871925659
63	0.5900171048	0.68714199
64	0.5910818471	0.6870543219
65	0.5917911541	0.6869499494
66	0.590837181	0.6868497141
67	0.5907357002	0.6868255199
68	0.5933025127	0.6867202338
69	0.5923753002	0.6866081168
70	0.5928285833	0.6865106907
71	0.5929249142	0.686454218
72	0.5923474815	0.6863750485
73	0.5933112488	0.6862890061
74	0.5931031375	0.6862696707
75	0.5935935277	0.6861558812
76	0.5942415418	0.6860725915
77	0.5948163995	0.6860119043
78	0.5955818495	0.6859176303
79	0.596209264	0.6858386101
80	0.5962015392	0.6857448466
81	0.5966641108	0.685625935
82	0.5963844068	0.6855888122
83	0.5967346922	0.6855207805
84	0.5973827062	0.6854153332
85	0.5973466571	0.6853413407
86	0.5992788358	0.6852245574
87	0.6000030868	0.6851148862
88	0.5996121079	0.6849571522
89	0.6004383453	0.6848886346
90	0.6012970456	0.6847954166
91	0.6024812932	0.6847143539
92	0.6028727777	0.6846173702
93	0.6028753526	0.6845617293
94	0.6028727777	0.6845152887
95	0.60293099	0.6844686732
96	0.6037108784	0.68442095
97	0.6037160283	0.6843191119
98	0.6046993838	0.6842228228
99	0.6046385965	0.684154119
100	0.6057089943	0.6840775601
101	0.6057347438	0.6839755629
102	0.6067335489	0.6838867459
103	0.6064260262	0.6838059557
104	0.607658692	0.6836861524
105	0.6085075982	0.6835900256
106	0.6089552257	0.6834867672
107	0.609521853	0.6834057689
108	0.6098803689	0.6833509143
109	0.611085216	0.6832581287
110	0.6115349129	0.683177823
111	0.611173822	0.6830964639
112	0.610802937	0.6830177858
113	0.6105896759	0.6829130011
114	0.6123971994	0.6827882209
115	0.6129617573	0.6827252319
116	0.6129617573	0.6827252318
117	0.6136200711	0.6826528199
118	0.6123291929	0.682588902
119	0.6133429421	0.682478065
120	0.6140723429	0.6823560407
121	0.6144154092	0.6822698004
