iter	Passed	Remaining
0	92	184474
1	187	187494
2	288	191935
3	403	201213
4	517	206488
5	626	208206
6	738	210311
7	851	212089
8	959	212287
9	1064	211792
10	1169	211545
11	1279	212018
12	1391	212659
13	1494	211954
14	1612	213326
15	1726	214040
16	1779	207610
17	1891	208262
18	2015	210092
19	2131	211031
20	2236	210725
21	2349	211222
22	2459	211452
23	2556	210526
24	2662	210339
25	2759	209491
26	2851	208373
27	2955	208153
28	3079	209325
29	3211	210877
30	3318	210766
31	3417	210190
32	3511	209322
33	3611	208841
34	3708	208210
35	3809	207833
36	3908	207384
37	4001	206597
38	4095	205948
39	4190	205333
40	4287	204854
41	4381	204257
42	4471	203517
43	4563	202849
44	4660	202471
45	4754	201953
46	4861	201992
47	4962	201828
48	5057	201382
49	5191	202449
50	5325	203501
51	5487	205588
52	5647	207455
53	5767	207854
54	5859	207204
55	5953	206672
56	6046	206108
57	6142	205657
58	6239	205261
59	6351	205360
60	6452	205115
61	6560	205081
62	6662	204842
63	6756	204390
64	6850	203934
65	6944	203484
66	7037	203029
67	7127	202495
68	7219	202030
69	7324	201938
70	7416	201512
71	7511	201134
72	7607	200805
73	7698	200367
74	7767	199354
75	7864	199095
76	7990	199558
77	8140	200580
78	8234	200234
79	8334	200033
80	8427	199670
81	8520	199289
82	8621	199124
83	8719	198881
84	8819	198691
85	8911	198334
86	9004	197994
87	9099	197718
88	9192	197388
89	9290	197168
90	9383	196853
91	9481	196639
92	9632	197513
93	9769	198088
94	9909	198712
95	10040	199137
96	10143	198998
97	10268	199283
98	10399	199685
99	10496	199436
100	10616	199603
101	10765	200325
102	10879	200377
103	10997	200500
104	11098	200305
105	11203	200187
106	11315	200186
107	11413	199940
108	11513	199747
109	11625	199740
110	11727	199575
111	11833	199476
112	11929	199218
113	12029	199018
114	12129	198821
115	12224	198547
116	12254	197220
117	12359	197118
118	12461	196977
119	12558	196751
120	12711	197400
121	12821	197363
